"usuario","data","hora","texto","midia","num_caracteres","num_palavras","num_emojis","num_mencoes","likes","repostagens","comentarios","prob_positivo","prob_neutro","prob_negativo","sentimento_geral"
"will_scorazza","2026-01-23","00:49:45","@BolsonaroSP @MelMatos01 @policiafederal https://t.co/OdfldfJ33Y",1,64,4,0,3,0,0,"",0.05683412030339241,0.9249245524406433,0.018241360783576965,"neutro"
"ocfritzkemagno","2026-01-21","22:51:34","@NassarCarmelena @inezmedeiros @BolsonaroSP @policiafederal Carlos Bolsonaro melhor e mais votado depurado de 2022.",0,115,13,0,4,0,0,"",0.3065139651298523,0.6473038792610168,0.046182092279195786,"neutro"
"camargonline26","2026-01-20","16:04:03","@BolsonaroSP @lacerdista @policiafederal Libertem Bolsonaro 🇧🇷 https://t.co/XbP9KuiHA6",1,86,7,1,3,1,0,"",0.139945387840271,0.7319215536117554,0.12813298404216766,"neutro"
"MariaValri50863","2026-01-15","10:16:57","@BolsonaroSP @policiafederal Isso mesmo Eduardo! É armadilha! Eles querem te prender!",0,85,11,0,2,0,0,"",0.2616894841194153,0.6094914078712463,0.12881919741630554,"neutro"
"MolissonMs","2026-01-15","02:12:21","@BolsonaroSP @policiafederal Vai trabalhar, vagabundo. Até quando vai ficar com esse mi mi mi?",0,94,14,0,2,0,0,"",0.0030639569740742445,0.009970766492187977,0.9869652986526489,"negativo"
"ParaclitoAdvog1","2026-01-13","19:32:16","@BolsonaroSP @policiafederal Pede seu amigo Trump pra te ajudar...! Dudu,vc nem precisa voltar para o terceiro mundo... Fica aí mesmo deputado...!!",0,147,21,0,2,0,0,"",0.0631762221455574,0.664240300655365,0.27258336544036865,"neutro"
"johansen_wania","2026-01-12","07:52:44","@BolsonaroSP @policiafederal Você não gosta de trabalhar. Se acha muito esperto e é muito amador.",0,97,15,0,2,0,0,"",0.023580221459269524,0.16254521906375885,0.8138746023178101,"negativo"
"johansen_wania","2026-01-12","07:50:54","@BolsonaroSP @policiafederal Trocaria honra ou liberdade?",0,57,6,0,2,0,0,"",0.014943921007215977,0.9512999653816223,0.03375612199306488,"neutro"
"charlesjfrocha","2026-01-12","04:22:40","@BolsonaroSP @policiafederal Se f...deu...kkkkkkk",0,49,4,0,2,0,0,"",0.027579499408602715,0.11978686600923538,0.8526336550712585,"negativo"
"guedes9130","2026-01-09","01:16:39","@BolsonaroSP @policiafederal Força e honra. Deus, pátria, família e liberdade",0,77,10,0,2,0,0,"",0.9283733367919922,0.06399219483137131,0.007634438574314117,"positivo"
"adilcar100","2026-01-08","17:04:59","@BolsonaroSP @policiafederal E esse canalha tem honra? Rapariga de Trump",0,72,10,0,2,0,0,"",0.00482736574485898,0.014409391209483147,0.9807631969451904,"negativo"
"DouglasRMR85","2026-01-06","17:49:53","@psantossoares93 @viegastt @SouFlamengo8119 @delaurentiis_br @BolsonaroSP @policiafederal Pra idiotas que nem vc elegerem esse lixo de novo esse ano? Não existe idolatria, existe voto em qualquer um x esse esgoto que vcs colocaram aí..",0,235,33,0,6,0,0,"",0.004012668505311012,0.007330479100346565,0.9886568188667297,"negativo"
"CombativeAdvoc","2026-01-06","16:44:42","@ArturFernandoP @VladimirAlves @BolsonaroSP @policiafederal TODO O TERRITÓRIO BRASILEIRO, BURRO! Ou Xandão poderia abrir uma conta corrente em um banco BRASILEIRO em qualquer um dos estados do Brasil?!",0,201,27,0,4,0,0,"",0.004808405879884958,0.020229633897542953,0.9749618768692017,"negativo"
